Type;From;To;Waypoints;P_MW
132kV;Utzenstorf;Carbagas;;1
132kV;Utzenstorf;Birchi;;1
132kV;Bickigen;Birchi;2900,3250|2800,3100;1
132kV;Bickigen;Heimiswil;;1
132kV;Heimiswil;Sumiswald;;1
132kV;Sumiswald;Emmenmatt;;1
132kV;Emmenmatt;Grosshöchstetten;;1
132kV;Grosshöchstetten;Wichtrach;;1
132kV;Wichtrach;Steffisburg;;1
132kV;Steffisburg;Wattenwil;;1
132kV;Wattenwil;Gasel;;1
132kV;Wattenwil;Wilderswil;;1
132kV;Wilderswil;Innertkirchen;;1
132kV;Innertkirchen;Aaregg;;1
132kV;Grosshöchstetten;Worb;;1
132kV;Worb;Belp;;1
132kV;Belp;Gasel;;1
132kV;Belp;Köniz;;1
132kV;Gasel;Köniz;;1
132kV;Gasel;Riedbach;;1
132kV;Riedbach;Mühleberg;;1
132kV;Riedbach;Holligen;;1
132kV;Holligen;Monbijou;;1
132kV;Monbijou;Schlosshalde;;1
132kV;Schlosshalde;Gümligen;;1
132kV;Gümligen;Worb;;1
132kV;Worb;Deisswil;;1
132kV;Deisswil;Habstetten;;1
132kV;Habstetten;Wankdorf;;1
132kV;Wankdorf;Engehalde;;1
132kV;Neubrück;Engehalde;;1
132kV;Engehalde;Mühleberg;;1
132kV;Habstetten;Worblaufen;;1
132kV;Worblaufen;Engehalde;;1
132kV;Habstetten;Wankdorf;;1
132kV;Wankdorf;Engehalde;;1
132kV;Neubrück;Mühleberg;;1
132kV;Habstetten;Schönbühl;;1
132kV;Schönbühl;Burgdorf;;1
132kV;Burgdorf;Bickigen;;1
132kV;Bickigen;Habstetten;;1
132kV;Burgdorf;Habstetten;;1
132kV;Mühleberg;Kappelen;;1
132kV;Kappelen;Brügg;;1
132kV;Brügg;Mett;;1
132kV;Mett;Pieterlen;;1
132kV;Pieterlen;Sorvilier;;1
132kV;Kappelen;Pieterlen;;1
132kV;Sorvilier;Bassecourt;;1
132kV;Bassecourt;Porrentruy;;1
132kV;Bassecourt;Wasenring;2696,791;1
132kV;Bassecourt;Voltastrasse;1775,1800|2654,759;1
132kV;Wasenring;Froloo;;1
132kV;Burgdorf;Habstetten;;1
132kV;Burgdorf;Habstetten;;1
132kV;Burgdorf;Habstetten;;1
132kV;Burgdorf;Habstetten;;1
50kV;Birchi;KEBAG;;1
50kV;Birchi;Zuchwil;;1
50kV;Zuchwil;Luterbach;;1
50kV;Luterbach;Flumenthal KW;;1
50kV;Flumenthal KW;Flumenthal;;1
50kV;Flumenthal;Gerlafingen;;1
50kV;Zuchwil;Solothurn 1;;1
50kV;Solothurn 2;Solothurn 1;;1
50kV;Solothurn 2;Langendorf;;1
50kV;Langendorf;Selzach;;1
50kV;Selzach;Birchi;;1
50kV;Langendorf;Birchi;;1
50kV;Grenchen 1;Selzach;;1
50kV;Grenchen 2;Selzach;;1
50kV;Grenchen 2;Pieterlen;;1
50kV;Grenchen 2;Grenchen 1;;1
50kV;Mett;Reuchenette;;1
50kV;Reuchenette;Sorvilier;;1
50kV;Sorvilier;Moutier;;1
50kV;Moutier;Courrendlin;;1
50kV;Courrendlin;Bassecourt;;1
50kV;Bassecourt;Choindez;;1
50kV;Reuchenette;St-Immer;;1
50kV;St-Immer;Mt. Soleil;;1
50kV;Mt. Soleil;Le Noirmont;;1
50kV;Le Noirmont;Tramelan;;1
50kV;Tramelan;Reconvilier;;1
50kV;Reconvilier;Bassecourt;;1
50kV;Bassecourt;Porrentruy;;1
50kV;Porrentruy;Courtemaîche;;1
50kV;Courtemaîche;Bassecourt;912,1516|1067,1824;1
50kV;Courrendlin;Rondez;;1
50kV;Courrendlin;Liesberg;;1
50kV;Liesberg;Laufen;;1
50kV;Liesberg;Breitenbach;;1
50kV;Laufen;Brislach;;1
50kV;KEBAG;Luterbach;;1
50kV;Birchi;Biberist;;1
50kV;Biberist;Gerlafingen;;1
50kV;Gerlafingen;SG1;;1
50kV;SG1;SG2;;1
50kV;Birchi;SG1;;1
50kV;Utzenstorf;Seewil;;1
50kV;Seewil;Mühleberg;;1
50kV;Niederönz;Herzogenbuchsee;;1
50kV;Herzogenbuchsee;Lotzwil;;1
50kV;Lotzwil;Lindenholz;;1
50kV;Lindenholz;Hard;;1
50kV;Hard;Roggwil;;1
50kV;Roggwil;Wynau;;1
50kV;Wynau;Oberbuchsiten;;1
50kV;Oberbuchsiten;Niederbipp;;1
50kV;Niederbipp;Bannwil;;1
50kV;Bannwil;Niederönz;;1
50kV;Huttwil;Lindenholz;;1
50kV;Schwarzenburg;Amsoldingen;;1
50kV;Amsoldingen;Spiezmoos;;1
50kV;Spiezmoos;Spiez;;1
50kV;Spiez;Oberhofen;;1
50kV;Oberhofen;Steffisburg;;1
50kV;Zweisimmen;Erlenbach;;1
50kV;Zweisimmen;Saanen;;1
50kV;Gstaad;Saanen;;1
50kV;Lenk;Zweisimmen;;1
50kV;Adelboden;Lenk;;1
50kV;Adelboden;Frutigen;;1
50kV;Kandergrund;Frutigen;;1
50kV;Wimmis;Frutigen;;1
50kV;Wimmis;Buchholz;;1
50kV;Thun-Aare;Buchholz;;1
50kV;Thun-Aare;Steffisburg;;1
50kV;Wimmis;Leissigen;;1
50kV;Leissigen;Wilderswil;;1
50kV;Wilderswil;Lauterbrunnen;;1
50kV;Wilderswil;Grindelwald;;1
50kV;Aaregg;Brienz;;1
50kV;Brienz;Meiringen;;1
50kV;Meiringen;Innertkirchen;;1
50kV;Innergsteig;Saanen;;1
50kV;Gasel;Schwarzenburg;;1
